nb_clients,T,s,n_rounds,corrected_budget,build_seconds,solve_seconds,status,objective_value,achieved_GHG
108,75,20,94,363.65136300000006,0.009809563984163105,0.07105283706914634,greedy_done,70.58105271309572,363.60489900000067
108,75,40,114,363.36358200000006,0.014322889037430286,0.0891587829682976,greedy_done,71.14789587641928,363.2770230000011
108,75,60,134,363.50648400000006,0.019781023962423205,0.10658539505675435,greedy_done,71.5316569015471,363.492084000001
108,75,80,154,363.61829700000004,0.026136027998290956,0.1621767650358379,greedy_done,71.80013631147487,363.5898690000012
108,75,100,174,363.701766,0.03345935407560319,0.13577207003254443,greedy_done,72.0083133875196,363.68789700000104
108,60,20,79,284.84605200000004,0.006960849976167083,0.054722081986255944,greedy_done,69.23452177412258,284.6601840000002
108,60,40,99,284.98284300000006,0.010960254934616387,0.07031820504926145,greedy_done,69.77740217014228,284.90918400000044
108,60,60,119,284.913672,0.015683460980653763,0.0854105269536376,greedy_done,70.18356632554752,284.89488300000005
108,60,80,139,284.62503000000004,0.021192215965129435,0.09902662399690598,greedy_done,70.46675577322036,284.6048639999999
108,60,100,159,284.41707900000006,0.02793988597113639,0.11299669207073748,greedy_done,70.65527251726553,284.33851799999974
108,45,20,64,212.01221400000003,0.004803130053915083,0.039368712925352156,greedy_done,67.60400335767646,211.9766669999999
108,45,40,84,211.89080100000004,0.007934379973448813,0.052729781018570065,greedy_done,68.19942927728015,211.825704
108,45,60,104,211.97301900000002,0.012042300077155232,0.06535497191362083,greedy_done,68.57709822354637,211.89602700000006
108,45,80,124,212.05096200000003,0.016739947022870183,0.07889086205977947,greedy_done,68.86991301985317,211.99114199999994
108,45,100,144,211.803996,0.022569374996237457,0.09055429301224649,greedy_done,69.05785928064722,211.76586300000002
108,30,20,49,140.257068,0.0027886610478162766,0.025806632940657437,greedy_done,65.31885984319725,140.18463000000006
108,30,40,69,139.83263399999998,0.005402368027716875,0.03666906896978617,greedy_done,66.03398122221287,139.7187060000001
108,30,60,89,139.567146,0.008948278962634504,0.047322134021669626,greedy_done,66.3839409741355,139.50964200000013
108,30,80,109,139.583682,0.01319175900425762,0.05823292105924338,greedy_done,66.63156066066402,139.5118020000001
108,30,100,129,139.769022,0.018316755071282387,0.06872632401064038,greedy_done,66.8392472186855,139.74547500000025
108,15,20,34,66.97742699999999,0.0015748790465295315,0.012767486972734332,greedy_done,61.49282416043661,66.94797000000005
108,15,40,54,66.78121199999998,0.0035058900248259306,0.021574639016762376,greedy_done,62.309822334710624,66.72781200000001
108,15,60,74,66.51276899999999,0.006016846047714353,0.029114514938555658,greedy_done,62.58138141813518,66.47832600000001
108,15,80,94,66.31206599999999,0.009800288011319935,0.036276516038924456,greedy_done,62.7348603426937,66.29069400000004
108,15,100,114,66.02428499999999,0.014384811976924539,0.0435706430580467,greedy_done,62.886252124827514,66.00490200000002
108,5,20,24,18.734414999999995,0.0007587909931316972,0.004761139047332108,greedy_done,55.299250297394096,18.71303700000001
108,5,40,44,18.736274999999992,0.002311652060598135,0.009228057926520705,greedy_done,55.89541530155774,18.530016000000007
108,5,60,64,18.306644999999993,0.004652836942113936,0.013384290039539337,greedy_done,56.05032073290842,18.279429
108,5,80,84,18.185231999999996,0.007914550951682031,0.017122226068750024,greedy_done,56.13843174739295,18.164301000000012
108,5,100,104,18.267449999999993,0.011989042977802455,0.020859810058027506,greedy_done,56.246217610195984,18.23757900000001
108,3,20,22,9.381371999999995,0.000685584032908082,0.0030484580202028155,greedy_done,51.952440058972165,9.297971999999998
108,3,40,42,9.382148999999995,0.0020363200455904007,0.006182349985465407,greedy_done,52.52575527789566,9.277446
108,3,60,62,8.976971999999996,0.00435682397801429,0.008838454028591514,greedy_done,52.54288006856783,8.971782000000003
108,3,80,82,8.938475999999996,0.007518625934608281,0.011457274085842073,greedy_done,52.64128010424792,8.932563
108,3,100,102,9.023576999999996,0.011486656032502651,0.014057634049095213,greedy_done,52.739247504630754,8.961972000000001
216,90,20,109,443.89862100000005,0.013102057971991599,0.08955247304402292,greedy_done,71.75127972189239,443.73238800000235
216,90,40,129,444.08396100000004,0.018410620978102088,0.10998296993784606,greedy_done,72.28707931712839,443.9987370000017
216,90,60,149,444.02907000000005,0.024141720961779356,0.12936101097147912,greedy_done,72.63644819144838,443.9102550000021
216,90,80,169,443.85223500000006,0.031078766100108624,0.14538556896150112,greedy_done,72.88851120092849,443.8481010000018
216,90,100,189,444.08871000000005,0.039286133949644864,0.1614480169955641,greedy_done,73.14906175055549,444.01943400000135
